,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
265,Chimoio,90,MZ,1514350800,100,-19.11,33.48,291.15,6.7
266,Vila Velha,75,BR,1514350800,78,-3.71,-38.6,300.15,4.6
267,Touros,76,BR,1514355549,90,-5.2,-35.46,299.231,5.41
268,Morwell,48,AU,1514355549,36,-38.24,146.4,303.531,1.11
269,Kangaatsiaq,8,GL,1514355550,100,68.31,-53.46,265.531,5.36
270,Razdolinsk,80,RU,1514355550,74,58.42,94.62,268.356,4.16
271,Tommot,0,RU,1514355551,41,58.97,126.27,239.931,1.11
272,Bubaque,0,GW,1514354400,43,11.28,-15.83,294.15,3.1
273,Rincon,1,US,1514354100,76,32.3,-81.24,282.15,4.6
274,Ahipara,0,NZ,1514355552,71,-35.17,173.16,292.231,8.21
275,Brae,68,GB,1514353800,86,60.4,-1.35,276.15,8.2
276,Liverpool,0,GB,1514353800,74,53.41,-2.98,276.15,7.2
277,Caxito,76,BR,1514355553,96,-22.65,-42.51,296.756,1.31
278,Getahovit,0,AM,1514355554,81,40.9,45.14,269.081,0.86
279,Abu Dhabi,20,AE,1514350800,77,24.47,54.37,293.15,1.0
280,Sassandra,12,CI,1514355558,100,4.95,-6.09,299.581,1.51
281,Richards Bay,0,ZA,1514355558,82,-28.77,32.06,294.756,4.06
282,Winchester,90,GB,1514353800,100,51.06,-1.31,274.15,6.2
283,San Cristobal,75,EC,1514350800,93,-0.39,-78.55,285.15,1.5
284,Hobyo,24,SO,1514355563,79,5.35,48.53,299.081,7.46
285,Dalvik,92,SE,1514353800,93,57.79,14.13,275.15,6.7
286,Hildburghausen,0,DE,1514353800,74,50.43,10.73,276.15,6.7
287,Khani,0,GE,1514352600,57,41.96,42.96,283.15,12.9
288,Betare Oya,0,CM,1514355565,51,5.6,14.08,291.456,1.86
289,Maragogi,68,BR,1514355565,98,-9.01,-35.22,297.356,2.51
290,Katsuura,40,JP,1514351040,52,33.93,134.5,278.15,8.2
291,Marquette,1,US,1514353080,69,46.54,-87.4,254.15,5.1
292,Mahajanga,40,MG,1514350800,83,-15.72,46.32,301.15,1.0
293,Eyl,32,SO,1514355567,94,7.98,49.82,297.131,8.06
294,Rexburg,90,US,1514354160,92,43.82,-111.79,266.15,1.36
295,Sergeyevka,76,KZ,1514355570,78,53.88,67.42,260.281,5.76
296,Dali,8,CN,1514355571,59,25.6,100.24,287.781,1.11
297,Labuhan,64,ID,1514355574,63,-2.54,115.51,303.856,1.36
298,Yucca Valley,1,US,1514354160,22,34.12,-116.41,285.15,1.06
299,Mwinilunga,12,ZM,1514355576,80,-11.73,24.43,293.631,1.51
300,Belmonte,20,PT,1514355577,91,40.36,-7.35,281.756,6.61
301,Kroya,88,ID,1514355577,65,-6.5,108.06,303.106,3.76
302,Groton,1,US,1514353980,51,42.61,-71.57,266.15,2.1
303,Oriximina,76,BR,1514355578,91,-1.77,-55.87,297.981,0.91
304,Luau,8,CD,1514355578,90,-10.7,22.23,294.456,1.46
305,Bereda,40,ES,1514354400,66,43.27,-7.54,284.15,5.7
306,Windhoek,0,NA,1514350800,20,-22.57,17.08,296.15,1.5
307,Saint Joseph,1,US,1514350380,70,39.77,-94.85,257.15,3.1
308,Grindavik,0,IS,1514352600,80,63.84,-22.43,273.15,12.3
309,Keti Bandar,0,PK,1514355581,90,24.14,67.45,296.181,0.61
310,Kununurra,32,AU,1514354400,50,-15.77,128.74,308.15,3.6
311,Dangara,0,NG,1514355581,56,11.43,7.3,287.756,5.71
312,Sherlovaya Gora,12,RU,1514355582,60,50.53,116.31,253.256,2.06
313,Champerico,40,MX,1514349720,82,16.38,-93.6,293.15,1.66
314,High Level,90,CA,1514354400,67,58.52,-117.13,240.15,1.0
315,Constitucion,12,MX,1514355588,58,23.99,-104.67,282.006,2.71
316,Matli,0,PK,1514355590,50,25.04,68.66,296.381,1.31
317,Kavieng,24,PG,1514355591,100,-2.57,150.8,302.356,1.41
318,Chokurdakh,0,RU,1514355591,26,70.62,147.9,245.856,4.21
319,Nimbahera,0,IN,1514355592,79,24.63,74.69,292.831,2.01
320,Cajati,92,BR,1514355592,99,-24.73,-48.11,293.431,2.66
321,Angoche,92,MZ,1514355593,100,-16.23,39.91,298.706,2.11
322,Saint-Pierre,90,FR,1514354400,86,48.95,4.24,279.15,9.8
323,Batticaloa,80,LK,1514355594,99,7.71,81.69,299.756,5.66
324,Hollister,1,US,1514354100,80,36.85,-121.4,283.15,0.96
325,Tres Picos,40,MX,1514349720,82,16.23,-93.58,293.15,1.66
326,Gamba,0,CN,1514355596,53,28.28,88.52,267.206,1.31
327,Santa Maria da Vitoria,44,BR,1514355596,76,-13.39,-44.19,294.381,1.61
328,Alice Springs,90,AU,1514354400,19,-23.7,133.88,311.15,9.3
329,Mugur-Aksy,48,RU,1514355597,77,50.38,90.44,265.181,1.06
330,San Rafael,0,AR,1514355600,29,-34.61,-68.33,290.781,2.61
331,Yumen,0,CN,1514355601,45,40.29,97.04,277.956,2.46
332,Sao Filipe,44,CV,1514355603,95,14.9,-24.5,296.681,7.21
333,Maracaju,68,BR,1514355605,96,-21.61,-55.17,295.206,2.06
334,Serra Talhada,68,BR,1514355605,60,-7.99,-38.29,298.331,3.66
335,Nador,40,MA,1514354400,58,35.17,-2.93,288.15,4.1
336,Nazarovo,0,RU,1514355606,77,56.01,90.42,264.781,2.56
337,Itarema,44,BR,1514355607,91,-2.92,-39.92,297.606,3.36
338,Columbus,90,US,1514354280,87,32.46,-84.99,282.15,1.5
339,Salalah,0,OM,1514350200,64,17.01,54.1,296.15,1.5
340,Katiola,0,CI,1514350800,43,8.14,-5.1,295.15,2.1
341,Ostrovnoy,36,RU,1514355609,83,68.05,39.51,259.106,6.81
342,Marawi,88,PH,1514355609,99,8.0,124.29,295.881,1.21
343,Moree,8,AU,1514355610,46,-29.46,149.84,303.581,6.36
344,Tabou,0,CI,1514355610,99,4.42,-7.36,300.531,1.36
345,Hasaki,20,JP,1514352600,26,35.73,140.83,280.15,7.7
346,Almeirim,75,PT,1514354400,82,39.21,-8.63,287.15,4.1
347,Ginir,0,ET,1514355611,28,7.14,40.71,293.631,1.61
348,Sandnessjoen,40,NO,1514353800,54,66.02,12.63,271.15,7.7
349,Sant Feliu de Guixols,75,ES,1514354400,70,41.78,3.03,281.15,3.1
350,Charters Towers,0,AU,1514355618,51,-20.07,146.27,304.456,5.61
351,Pangkalanbuun,80,ID,1514355620,76,-2.68,111.62,303.456,3.11
352,Sinnamary,88,GF,1514355620,100,5.38,-52.96,298.731,4.76
353,Santa Cruz,1,US,1514354160,93,36.97,-122.03,283.15,1.16
354,Vao,68,EE,1514355622,97,59.1,26.19,275.831,5.06
355,Te Anau,0,NZ,1514355622,52,-45.41,167.72,288.856,1.91
356,Kenai,1,US,1514354160,100,60.55,-151.26,261.15,2.1
357,Northam,20,GB,1514350200,69,51.04,-4.21,277.15,6.7
358,Caravelas,92,BR,1514355624,100,-17.73,-39.27,299.256,5.26
359,Galesburg,1,US,1514355300,76,40.95,-90.37,256.15,2.6
360,Nazas,64,MX,1514355625,86,25.22,-104.11,283.856,1.21
361,Olinda,75,EC,1514350800,69,-2.03,-79.75,298.15,4.1
362,Magadi,0,IN,1514354400,49,12.96,77.22,296.15,3.6
363,Zhigansk,24,RU,1514355628,48,66.77,123.37,239.131,3.26
364,Mashhad,44,IR,1514352600,60,36.3,59.61,277.15,2.1
365,Belyy Yar,44,RU,1514352600,92,53.6,91.39,268.15,2.0
366,Deputatskiy,0,RU,1514355632,0,69.3,139.9,236.331,1.21
367,Beidao,0,CN,1514355634,68,34.57,105.89,279.506,2.91
368,Lata,48,IN,1514355634,73,30.78,78.62,283.531,0.76
369,Broome,75,GB,1514354160,93,52.47,1.45,279.15,4.6
370,Nouadhibou,56,MR,1514355635,75,20.93,-17.03,289.106,7.91
371,Japura,12,ID,1514355636,55,-0.42,102.29,305.781,1.51
372,Praia da Vitoria,40,PT,1514354400,82,38.73,-27.07,287.15,8.51
373,Opuwo,56,NA,1514355637,91,-18.06,13.84,292.081,1.46
374,Tahoua,0,NE,1514355637,60,14.89,5.26,286.606,4.71
375,Crib Point,12,AU,1514355638,70,-38.35,145.2,300.731,4.76
376,Natal,40,BR,1514350800,83,-5.81,-35.21,299.15,4.6
377,Baturaja,76,ID,1514355639,85,-4.12,104.17,301.456,3.26
378,Guerrero Negro,24,MX,1514355639,96,27.97,-114.04,285.731,1.61
379,San Ramon,64,NI,1514355640,87,12.92,-85.84,291.681,1.96
380,Semporna,75,MY,1514350800,66,4.48,118.61,306.15,1.5
381,Mahebourg,40,MU,1514354400,66,-20.41,57.7,302.15,5.7
382,Anadyr,0,RU,1514352600,75,64.73,177.51,245.15,5.0
383,Beian,40,NO,1514353800,68,63.66,9.57,270.15,5.7
384,Pitiquito,88,MX,1514355648,73,30.68,-112.05,280.981,1.21
385,Amarante do Maranhao,48,BR,1514355650,95,-5.57,-46.74,295.531,1.21
386,Padang,80,ID,1514355650,100,-0.92,100.36,297.256,3.31
387,Kirando,56,TZ,1514355651,100,-7.37,30.62,295.581,2.16
388,Da Lat,92,VN,1514355651,99,11.95,108.44,292.956,1.51
389,Virbalis,32,LT,1514355652,91,54.63,22.82,273.931,4.16
390,Mian Channun,36,PK,1514355520,100,30.44,72.35,289.481,2.06
391,Erattupetta,20,IN,1514352600,55,9.69,76.78,303.15,2.1
392,Palmas,40,BR,1514350800,94,-10.18,-48.33,297.15,1.5
393,Phalodi,12,IN,1514355654,46,27.13,72.36,294.331,2.11
394,Teknaf,0,BD,1514355655,53,20.86,92.31,301.581,1.16
395,Tibiri,0,NE,1514354400,54,13.59,7.06,286.15,4.66
396,San Vicente,0,SV,1514353800,68,13.64,-88.78,300.15,4.1
397,Cedar City,1,US,1514353980,47,37.68,-113.06,275.15,1.5
398,Brownsville,20,US,1514354100,93,25.91,-97.49,292.15,2.36
399,Pisco,40,PE,1514350800,82,-13.71,-76.2,293.15,4.1
400,Lanzhou,0,CN,1514350800,19,36.06,103.82,277.15,2.0
401,Clyde River,1,CA,1514354880,75,70.47,-68.59,244.15,4.6
402,Ponta do Sol,56,BR,1514355667,96,-20.63,-46.0,292.981,1.41
403,Zeya,0,RU,1514355668,27,53.74,127.27,251.956,1.71
404,Biak,44,ID,1514355668,100,-0.91,122.88,299.831,0.96
405,Timmins,5,CA,1514354400,66,48.48,-81.33,239.15,2.1
406,Dakar,8,SN,1514354400,60,14.69,-17.45,293.15,5.1
407,Roros,88,NO,1514353800,92,62.57,11.38,266.15,4.6
408,Verkhnedneprovskiy,80,RU,1514355670,96,54.98,33.35,272.256,5.56
409,Chibombo,92,ZM,1514355671,100,-14.68,28.09,291.256,1.46
410,Cap Malheureux,40,MU,1514354400,66,-19.98,57.61,302.15,5.7
411,Faya,0,SA,1514350800,34,18.39,42.45,283.15,2.1
412,Bairnsdale,0,AU,1514355672,47,-37.83,147.63,301.781,2.76
413,Kaili,64,ID,1514355672,71,-3.46,120.21,300.956,0.31
414,Kuito,92,AO,1514355673,87,-12.38,16.94,290.831,2.41
415,Marsa Matruh,40,EG,1514350800,76,31.35,27.25,287.15,2.6
416,Mecca,0,SA,1514350800,43,21.43,39.83,294.15,2.06
417,Matamoros,20,US,1514354100,93,25.87,-97.51,292.15,1.61
418,Taoudenni,0,ML,1514355677,61,22.68,-3.98,278.581,5.11
419,San Pedro,56,AR,1514355679,89,-33.68,-59.66,293.081,4.46
420,Bagdarin,44,RU,1514355681,41,54.44,113.59,246.381,1.41
421,Bongor,0,TD,1514355683,47,10.28,15.37,287.856,3.66
422,Walvis Bay,90,NA,1514350800,77,-22.95,14.51,290.15,2.6
423,Westport,44,IE,1514355684,99,53.8,-9.52,278.106,6.56
424,Ozinki,88,RU,1514355684,95,51.2,49.73,274.106,5.36
425,Ancud,24,CL,1514355685,85,-41.87,-73.83,281.356,2.61
426,Srednekolymsk,32,RU,1514355685,0,67.46,153.71,235.081,1.11
427,Rettikhovka,0,RU,1514355686,72,44.17,132.77,258.831,5.41
428,Ponta Delgada,75,PT,1514354400,67,37.73,-25.67,290.15,6.2
429,Semarang,56,ID,1514355687,80,-6.99,110.42,300.031,3.86
430,Siwan,0,IN,1514355687,88,26.22,84.36,292.506,1.96
431,Strezhevoy,90,RU,1514352600,84,60.73,77.6,254.15,2.0
432,Yerbogachen,68,RU,1514355688,71,61.28,108.01,251.781,2.86
433,Mbandaka,44,CD,1514355689,96,0.05,18.26,297.206,1.06
434,Tahara,20,JP,1514353080,41,34.64,137.18,279.15,11.8
435,Ola,75,RU,1514352600,74,59.58,151.3,271.15,9.0
436,Yining,92,CN,1514355697,45,29.04,114.56,286.106,1.56
437,Mirabad,0,IR,1514355697,55,28.27,61.33,283.131,2.16
438,Kalabo,92,ZM,1514355698,100,-15.0,22.67,292.631,3.41
439,Sicamous,90,CA,1514354400,72,50.84,-118.99,262.15,0.76
440,Camargo,8,MX,1514355699,60,27.69,-105.17,282.531,1.11
441,Bogovina,40,RS,1514354400,75,43.9,21.94,279.15,1.5
442,Praia,44,BR,1514355700,99,-20.25,-43.81,290.381,0.46
443,Hofn,0,IS,1514355701,100,64.25,-15.21,274.531,12.76
444,Haskovo,90,BG,1514354400,100,41.93,25.56,269.15,1.0
445,Ayan,24,TR,1514355701,68,40.67,33.6,264.281,0.76
446,Tomatlan,8,MX,1514355702,89,19.93,-105.25,291.131,0.86
447,Potam,8,MX,1514355703,66,27.6,-110.38,287.956,2.51
448,Zafra,40,ES,1514354400,87,38.43,-6.42,285.15,8.2
449,Garowe,0,SO,1514355708,68,8.41,48.48,293.181,2.71
450,Samana,76,EC,1514355711,96,0.12,-76.97,294.631,0.96
451,Prieska,0,ZA,1514355711,17,-29.67,22.74,298.031,1.86
452,Uribia,88,CO,1514355711,69,11.71,-72.27,299.256,6.36
453,Lumsden,5,CA,1514354400,74,50.65,-104.86,243.15,1.5
454,Qaqortoq,0,GL,1514355713,81,60.72,-46.03,274.531,19.16
455,Beisfjord,0,NO,1514353800,85,68.38,17.6,267.15,1.21
456,Tuatapere,0,NZ,1514355714,99,-46.13,167.69,286.356,3.21
457,Alyangula,8,AU,1514355714,84,-13.85,136.42,305.931,3.41
458,Kendari,36,ID,1514355715,98,-3.99,122.52,300.731,1.46
459,Nueva Guinea,92,NI,1514355715,95,11.69,-84.46,295.631,2.51
460,Caraga,92,PH,1514355716,97,9.0,125.74,299.081,1.61
461,Morros,75,BR,1514350800,83,-2.87,-44.04,300.15,2.1
462,South Yuba City,1,US,1514354400,93,39.12,-121.64,280.15,1.5
463,Gbarnga,0,LR,1514355719,67,7.0,-9.47,292.881,1.81
464,Teguldet,80,RU,1514355720,75,57.31,88.17,269.531,3.81
465,Poronaysk,68,RU,1514355721,84,49.22,143.1,268.106,6.26
466,Gat,12,SN,1514355723,36,14.69,-16.54,294.956,5.66
467,Mbekenyera,64,TZ,1514355725,71,-10.0,38.98,299.206,2.51
468,Paracuru,75,BR,1514350800,78,-3.41,-39.03,300.15,4.6
469,Abu Kamal,0,SY,1514355726,76,34.45,40.92,278.281,1.66
470,Sardarpur,0,IN,1514355726,55,22.68,74.95,295.531,3.21
471,Stralsund,75,DE,1514352000,100,54.31,13.08,275.15,2.6
472,Chinsali,92,ZM,1514355727,100,-10.55,32.07,291.256,1.51
473,Beboto,0,TD,1514355728,46,8.27,16.94,288.831,3.61
474,Kutum,0,SD,1514355728,68,14.2,24.66,281.281,2.16
475,Mana,20,RS,1514354400,80,43.52,20.24,279.15,1.0
476,Sao Jose da Coroa Grande,68,BR,1514355729,98,-8.9,-35.15,297.356,2.51
477,Arroyo,90,US,1514354040,71,41.39,-78.88,261.15,5.1
478,Santa Vitoria do Palmar,8,BR,1514355730,93,-33.52,-53.37,292.256,4.91
479,Panorama,56,BR,1514355731,95,-21.35,-51.86,295.006,1.31
480,Sao Joao da Barra,8,BR,1514355733,99,-21.64,-41.05,298.931,8.61
481,Doka,0,SD,1514355736,37,13.52,35.76,296.031,1.66
482,Kommunar,75,RU,1514352600,93,59.62,30.39,276.15,6.0
483,Tashtyp,48,RU,1514355739,90,52.8,89.89,265.781,0.81
484,Son La,100,VN,1514355740,100,21.32,103.9,285.106,0.41
485,Ternuvate,75,UA,1514352600,93,47.83,36.13,279.15,5.0
486,Cabra,75,ES,1514354400,100,37.47,-4.43,286.15,8.2
487,Adre,0,TD,1514355741,38,13.47,22.2,285.681,5.26
488,Vila,75,IT,1514354100,93,45.18,8.4,277.15,2.6
489,Ontario,40,US,1514354940,37,34.07,-117.65,287.15,2.1
490,Hovd,0,NO,1514353800,62,63.83,10.7,270.15,7.2
491,Arlit,0,NE,1514355743,69,18.74,7.39,279.431,1.31
492,Amapa,75,HN,1514354400,100,15.09,-87.97,295.15,0.96
493,Hualmay,32,PE,1514355744,91,-11.1,-77.61,288.781,1.76
494,Klaksvik,32,FO,1514353800,74,62.23,-6.59,275.15,14.9
495,Road Town,1,VG,1514353980,78,18.42,-64.62,299.15,5.1
496,Sechura,0,PE,1514355746,82,-5.56,-80.82,293.381,4.21
497,Henties Bay,32,NA,1514355748,92,-22.12,14.28,290.781,2.81
498,Kikwit,8,CD,1514355750,98,-5.04,18.82,296.031,1.81
499,Kidal,12,ML,1514355750,39,18.44,1.41,282.381,2.41
500,Gunjur,12,GM,1514354400,35,13.18,-16.76,294.15,2.6
501,Itoman,20,JP,1514354160,52,26.12,127.67,292.15,7.2
502,Hami,32,CN,1514355755,58,42.84,93.51,268.856,2.06
503,Charlestown,1,US,1514354160,52,41.38,-71.64,270.15,1.5
504,Ha Giang,100,VN,1514355756,100,22.83,104.99,284.981,1.01
505,Jaen,76,PE,1514355756,96,-5.71,-78.81,288.081,0.66
506,Awjilah,80,LY,1514355757,80,29.14,21.3,282.381,1.31
507,Sydney,20,AU,1514354400,61,-33.85,151.22,301.15,9.8
508,Taunggyi,76,MM,1514355757,69,20.78,97.03,293.431,1.31
509,Carutapera,80,BR,1514355758,93,-1.2,-46.02,298.606,2.36
510,Nushki,12,PK,1514355758,89,29.55,66.02,285.281,1.91
511,Vila Franca do Campo,75,PT,1514354400,67,37.72,-25.43,290.15,6.2
512,La Troncal,90,EC,1514354400,93,-2.42,-79.34,298.15,1.0
513,Ternate,90,PH,1514350800,100,14.29,120.72,299.15,3.6
514,Moron,92,VE,1514355550,97,10.49,-68.2,293.331,1.51
515,Le Moule,75,GP,1514354400,88,16.33,-61.35,296.15,1.0
516,Phu Ly,92,VN,1514355767,100,20.54,105.91,287.831,5.71
517,Port Lincoln,92,AU,1514355771,81,-34.72,135.86,295.381,6.06
518,Chilchotla,0,MX,1514355772,85,19.25,-97.18,273.831,0.11
519,Soyo,76,AO,1514355773,93,-6.13,12.37,297.256,1.56
520,Lavrentiya,32,RU,1514355773,100,65.58,-170.99,270.131,4.56
521,Semenyih,75,MY,1514352600,59,2.95,101.84,305.15,2.1
522,Saint-Augustin,92,FR,1514354400,87,44.83,-0.61,283.15,7.96
523,Taizhou,88,CN,1514355774,52,32.48,119.91,285.031,5.21
524,Sharjah,0,AE,1514350800,77,25.36,55.39,296.15,1.5
525,Mogocha,8,RU,1514355775,29,53.73,119.76,243.256,1.41
526,Maumere,20,ID,1514355776,100,-8.63,122.22,301.431,6.16
527,Ardatov,88,RU,1514355776,96,55.24,43.1,274.006,4.86
528,Aloleng,92,PH,1514355777,99,16.13,119.78,300.006,2.21
529,Imeni Poliny Osipenko,80,RU,1514355774,66,52.42,136.49,261.031,6.56
530,Codrington,80,AU,1514355781,91,-28.95,153.24,294.856,0.66
531,Ayton,12,CA,1514355782,75,44.05,-80.93,258.231,6.11
532,Ballina,64,IE,1514355784,98,54.11,-9.15,276.831,5.56
